Country name,2011,2014,2017,2021,2022
Angola,X,X,,,
Benin,X,X,X,X,
Botswana,X,X,X,,X
Burkina Faso,X,X,X,X,
Burundi,X,X,,,
Cameroon,X,X,X,X,
Central African Republic,X,,X,,
Chad,X,X,X,,X
Comoros,X,,,,X
"Congo, Dem. Rep.",X,X,X,,X
"Congo, Rep.",X,X,X,X,
Cote d'Ivoire,,X,X,X,
Eswatini,X,,,,X
Ethiopia,,X,X,,X
Gabon,X,X,X,X,
"Gambia, The",,,X,,X
Ghana,X,X,X,X,
Guinea,X,X,X,X,
Kenya,X,X,X,X,
Lesotho,X,,X,,X
Liberia,X,,X,X,
Madagascar,X,X,X,,X
Malawi,X,X,X,X,
Mali,X,X,X,X,
Mauritania,X,X,X,,X
Mauritius,X,X,X,X,
Mozambique,,,X,X,
Namibia,,X,X,X,
Niger,X,X,X,,X
Nigeria,X,X,X,X,
Rwanda,X,X,X,,
Senegal,X,X,X,X,
Sierra Leone,X,X,X,X,
Somalia,,X,,,
South Africa,X,X,X,X,
South Sudan,,,X,X,
Sub-Saharan Africa (excluding high income),X,X,X,X,
Sudan,X,X,,,
Tanzania,X,X,X,X,
Togo,X,X,X,X,
Uganda,X,X,X,X,
Zambia,X,X,X,X,
Zimbabwe,X,X,X,X,
